uniqueID,Site Landscape,Species,subgenus,ground location of nest,detection method,nest total,materials,important habitat types,soil type,preferred landscape,Preferred patch,Landscape graph,Patch graph
44,alpine,Bombus alpinus,Alpinobomus,underground,"nest seeking queens, observational",4,N/A,,N/A,"shrub heath in alpine, forest",large stones,"alpine, forest, shrubland",roadside
44,alpine,Bombus balteatus,Alpinobomus,underground,nest seeking queens and observational,12,"rodent burrow, under twigs",N/A,N/A,"alpine, subalpine, forest, roadsides, pastures, grassland",N/A,"alpine, forest, grassland, agricultural",
52,"forest, grassland",Bombus balteatus,Alpinobomus,above-ground,observational,2,artificial domiciles,"alpine meadow, coniferous forest",N/A,"mountains, grassland, forest",N/A,"grassland, forest",mountains
52,"forest, grassland",Bombus balteatus,Alpinobomus,underground,observational,12,artificial domiciles,"alpine meadow, coniferous forest",N/A,"mountains, grassland, forest",N/A,"grassland, forest",mountains
24,agricultural,Bombus nevadensis,Bombias,underground,observational,11,vole burrows,N/A,N/A,agricultural,did not study,urban,did not study
48,"forest, grassland",Bombus auricomus,Bombias,surface,observational,1,artificial domicile,N/A,N/A,"forest, foothills",N/A,forest,foothills
48,"forest, grassland",Bombus auricomus,Bombias,underground,observational,1,artificial domicile,N/A,N/A,"forest, foothills",N/A,forest,foothills
49,"forest, grassland",Bombus nevadensis,Bombias,surface,observational,8,artificial domicile,N/A,N/A,"grassland, foothills",N/A,grassland,foothills
49,"forest, grassland",Bombus nevadensis,Bombias,underground,observational,30,artificial domicile,N/A,N/A,"grassland, foothills",N/A,grassland,foothills
6,grassland,Bombus occidentalis,Bombus sensu stricto,underground,observational,11,artificial domiciles,N/A,N/A,forest or forest interface,did not study,"forest, forest edge",
7,grassland,Bombus occidentalis,Bombus sensu stricto,surface,observational,5,artificial domiciles,N/A,N/A,forest or forest interface,did not study,"forest, forest edge",
8,grassland,Bombus occidentalis,Bombus sensu stricto,above-ground,observational,3,artificial domiciles,N/A,N/A,forest or forest interface,did not study,"forest, forest edge",
8,grassland,Bombus occidentalis,Bombus sensu stricto,underground,observational,17,nest box,N/A,N/A,grassland,did not study,"forest, forest edge",
8,grassland,Bombus occidentalis,Bombus sensu stricto,above-ground,observational,4,nest box,N/A,N/A,grassland,did not study,"forest, forest edge",
15,agricultural,Bombus lucorum,Bombus sensu stricto,underground,observational,81,N/A,"plots with compost heaps/bins or bird nesting boxes had significantly more nests than expected, hedges, ponds, trees, shrubs and long grass plots contained expected number of nests, nest densities were high in gardens 36 nests/ha and linear countryside habitats fence lines hedgerows woodlan edge 20-37/ha and lower in non-linear countryside habitats woodland and grassland 11-15/ha, gardens are important and in the countryside linear features",N/A,agricultural,gardens,agricultural,gardens
15,agricultural,Bombus lucorum,Bombus sensu stricto,above-ground,observational,17,N/A,"plots with compost heaps/bins or bird nesting boxes had significantly more nests than expected, hedges, ponds, trees, shrubs and long grass plots contained expected number of nests, nest densities were high in gardens 36 nests/ha and linear countryside habitats fence lines hedgerows woodlan edge 20-37/ha and lower in non-linear countryside habitats woodland and grassland 11-15/ha, gardens are important and in the countryside linear features",N/A,agricultural,gardens,agricultural,gardens
15,agricultural,Bombus lucorum,Bombus sensu stricto,surface,observational,17,N/A,"plots with compost heaps/bins or bird nesting boxes had significantly more nests than expected, hedges, ponds, trees, shrubs and long grass plots contained expected number of nests, nest densities were high in gardens 36 nests/ha and linear countryside habitats fence lines hedgerows woodlan edge 20-37/ha and lower in non-linear countryside habitats woodland and grassland 11-15/ha, gardens are important and in the countryside linear features",N/A,agricultural,gardens,agricultural,gardens
15,agricultural,Bombus terrestris,Bombus sensu stricto,underground,observational,81,N/A,"plots with compost heaps/bins or bird nesting boxes had significantly more nests than expected, hedges, ponds, trees, shrubs and long grass plots contained expected number of nests, nest densities were high in gardens 36 nests/ha and linear countryside habitats fence lines hedgerows woodlan edge 20-37/ha and lower in non-linear countryside habitats woodland and grassland 11-15/ha, gardens are important and in the countryside linear features",N/A,agricultural,gardens,agricultural,gardens
15,agricultural,Bombus terrestris,Bombus sensu stricto,above-ground,observational,17,N/A,"plots with compost heaps/bins or bird nesting boxes had significantly more nests than expected, hedges, ponds, trees, shrubs and long grass plots contained expected number of nests, nest densities were high in gardens 36 nests/ha and linear countryside habitats fence lines hedgerows woodlan edge 20-37/ha and lower in non-linear countryside habitats woodland and grassland 11-15/ha, gardens are important and in the countryside linear features",N/A,agricultural,gardens,agricultural,gardens
15,agricultural,Bombus terrestris,Bombus sensu stricto,surface,observational,17,N/A,"plots with compost heaps/bins or bird nesting boxes had significantly more nests than expected, hedges, ponds, trees, shrubs and long grass plots contained expected number of nests, nest densities were high in gardens 36 nests/ha and linear countryside habitats fence lines hedgerows woodlan edge 20-37/ha and lower in non-linear countryside habitats woodland and grassland 11-15/ha, gardens are important and in the countryside linear features",N/A,agricultural,gardens,agricultural,gardens
15,agricultural,Bombus pascuorum,Thoracobombus,underground,observational,2,N/A,"plots with compost heaps/bins or bird nesting boxes had significantly more nests than expected, hedges, ponds, trees, shrubs and long grass plots contained expected number of nests, nest densities were high in gardens 36 nests/ha and linear countryside habitats fence lines hedgerows woodlan edge 20-37/ha and lower in non-linear countryside habitats woodland and grassland 11-15/ha, gardens are important and in the countryside linear features",N/A,agricultural,gardens,agricultural,gardens
15,agricultural,Bombus pascuorum,Thoracobombus,above-ground,observational,2,N/A,"plots with compost heaps/bins or bird nesting boxes had significantly more nests than expected, hedges, ponds, trees, shrubs and long grass plots contained expected number of nests, nest densities were high in gardens 36 nests/ha and linear countryside habitats fence lines hedgerows woodlan edge 20-37/ha and lower in non-linear countryside habitats woodland and grassland 11-15/ha, gardens are important and in the countryside linear features",N/A,agricultural,gardens,agricultural,gardens
15,agricultural,Bombus pascuorum,Thoracobombus,surface,observational,13,N/A,"plots with compost heaps/bins or bird nesting boxes had significantly more nests than expected, hedges, ponds, trees, shrubs and long grass plots contained expected number of nests, nest densities were high in gardens 36 nests/ha and linear countryside habitats fence lines hedgerows woodlan edge 20-37/ha and lower in non-linear countryside habitats woodland and grassland 11-15/ha, gardens are important and in the countryside linear features",N/A,agricultural,gardens,agricultural,gardens
18,agricultural,Bombus terrestris,Bombus sensu stricto,underground,observational,37,"24 nests constructed in abandoned rodent nests or underground cavities, ocvered in dried plant fragments, found within a buried PVC pipe, 12 in drain pipes","rodent nests or underground cavities with long entrance tunnels in ridges between cultivated field or dry riverbanks, ",soft fertile soil,agricultural,rodent burrows and cavities,agricultural,"rodent burrows, cavities"
22,agricultural,Bombus lucorum,Bombus sensu stricto,underground,detection dogs,1,N/S,"9 bumble bee nests were located in agriculturalland 3 in woodland edge and 3 within hedgerows and 1 in short grass and 1 in long grass and 1 in bank habitats. 23 nests in woodland 17 terrestris, 3 lacorum, 1 hortorum, 2 pratorum, 1 lapidarius",N/A,agriculturaland forest,did not study,forest,
22,agricultural,Bombus pascuorum,Thoracobombus,underground,detection dogs,7,N/S,9 bumble bee nests were located in agriculturalland 3 in woodland edge and 3 within hedgerows and 1 in short grass and 1 in long grass and 1 in bank habitats. 2 nests in woodland,N/A,agriculturaland forest,did not study,"forest, grassland",
